1.0	embattled president	on	plan	0	0
1.0	Marines	have	size	O	O
1.0	US President George W. Bush	have	prime-time speech	O	O
1.0	Iran	charge	Tehran	LOCATION	LOCATION
1.0	we strategy	work exactly as	terrorist	0	0
1.0	Senate Majority Leader Harry Reid	say in	statement	PERSON	0
0.7417687184648319	fresh	retake	US Congress in part thanks	0	LOCATION
1.0	Iraq	have	handling	O	LOCATION
1.0	US	have	much	O	LOCATION
1.0	control	help	Iraq 's security force	0	LOCATION
1.0	american defeat	be in	Iraq	0	LOCATION
1.0	president	have	plan	O	O
1.0	Baghdad	have	leaders	O	LOCATION
1.0	we strategy	work as	terrorist	0	0
1.0	increase	have	size	O	O
1.0	Congress	be	US	ORGANIZATION	LOCATION
1.0	rogue armed group	be	target	0	0
1.0	Pentagon	send army reserve troops accord to	Fox	ORGANIZATION	PERSON
1.0	Bush	point in	specific admission	PERSON	0
1.0	Bush	point to	past effort	PERSON	DATE
1.0	we	will disrupt	attack	0	0
1.0	Bush	point in	admission	PERSON	0
1.0	Iraq	have	security forces	O	LOCATION
1.0	Bush	be pin	hope	PERSON	0
1.0	aide	say	plan	0	0
1.0	Bush	point in	rare admission	PERSON	0
1.0	December interview	be with	Washington Post	DATE	ORGANIZATION
1.0	Bush	point in	admission of failure	PERSON	0
1.0	Bush	at	handling of Iraq	PERSON	LOCATION
1.0	we new strategy	work exactly as	terrorist	0	0
1.0	Iran	enter	Syria	LOCATION	LOCATION
1.0	Bush	be pin	fading hope for viable democracy	PERSON	0
1.0	Bush	be pin	fading hope for democracy in Iraq	PERSON	LOCATION
1.0	Iraq	have	neighbors	O	LOCATION
1.0	State Condoleezza Rice	have	US Secretary	O	PERSON
1.0	Gates	will present	plan	PERSON	0
1.0	Nancy Pelosi	be	House	PERSON	ORGANIZATION
1.0	Bush	have	allies	O	PERSON
1.0	Harry Reid	be majority leader of	Senate	PERSON	ORGANIZATION
1.0	Bush	be pin	fading hope for democracy	PERSON	0
1.0	Pentagon	send army reserve troops into	active duty	ORGANIZATION	0
1.0	Bush	be pin	fading hope for viable democracy in Iraq	PERSON	LOCATION
1.0	we strategy	even work as	terrorist	0	0
1.0	Robert Gates	be secretary of	Defense	PERSON	ORGANIZATION
1.0	Middle East	be on	Friday	LOCATION	DATE
1.0	we new strategy	work as	terrorist	0	0
1.0	situation	be in	Iraq	0	LOCATION
1.0	Bush	have	handling	O	PERSON
1.0	US president	take	aggressive step	LOCATION	0
1.0	Pentagon	send army reserve troops into	duty	ORGANIZATION	0
1.0	our	have	strategy	O	O
1.0	Harry Reid	be	Senate	PERSON	ORGANIZATION
1.0	Iraq	have	government	O	LOCATION
1.0	Bush	point in	rare specific admission of failure	PERSON	0
1.0	Iran	enter	Iraq	LOCATION	LOCATION
1.0	their	have	territory	O	O
1.0	George W. Bush	be president of	US	PERSON	LOCATION
1.0	failure	have	admission	O	O
1.0	US military	woman in	uniform	LOCATION	0
1.0	US President George W. Bush	tell	war-weary US public	LOCATION	LOCATION
1.0	Pentagon	send	army reserve troops	ORGANIZATION	0
1.0	Bush	point in	specific admission of failure	PERSON	0
1.0	Bush	point in	rare admission of failure	PERSON	0
1.0	state governors	have	control	O	O
1.0	the US president	say into	nearly four year	0	DURATION
1.0	our	have	forces	O	O
1.0	we	will disrupt attack on	we force	0	0
1.0	country	have	control	O	O
1.0	the Iraqi government	have	promises	O	O
1.0	Iran	use	they territory	LOCATION	0
